model,condition,task,value,is_ner
BERT,zero-shot,Study Conclusion,0.7875092500290497,False
MedGemma-27b-text-it,zero-shot,Study Conclusion,0.6573037817277448,False
Llama-3.1-8B-Instruct,ift,Relevant,0.8805118627008228,False
GPT-4o,zero-shot,Relevant,0.7663950589473554,False
BERT,zero-shot,Relevant,0.906486212187604,False
MedGemma-27b-text-it,zero-shot,Relevant,0.7047410029498525,False
Llama-3.1-8B-Instruct,ift,Setting,0.8850080254874227,False
GPT-4o,zero-shot,Setting,0.8553613897975163,False
BERT,zero-shot,Setting,0.8702442331132388,False
MedGemma-27b-text-it,zero-shot,Setting,0.717100888921009,False
GPT-4o,zero-shot,Sex of Participants,0.8506588319088318,False
Llama-3.1-8B-Instruct,ift,Sex of Participants,0.9440761784511785,False
BERT,zero-shot,Sex of Participants,0.942278747742324,False
MedGemma-27b-text-it,zero-shot,Sex of Participants,0.8066340488215488,False
GPT-4o,few-shot,Study Type,0.6751431844215349,False
MedGemma-27b-text-it,few-shot,Study Type,0.6550234798418083,False
MedGemma-27b-text-it,few-shot,Data Collection,0.4325049436711839,False
GPT-4o,few-shot,Data Collection,0.724570443084594,False
GPT-4o,few-shot,Data Type,0.6704340290593244,False
MedGemma-27b-text-it,few-shot,Data Type,0.577625962000962,False
MedGemma-27b-text-it,few-shot,Number of Participants,0.7183298854669823,False
GPT-4o,few-shot,Number of Participants,0.7429470951753561,False
GPT-4o,few-shot,Age of Participants,0.8689743589743589,False
MedGemma-27b-text-it,few-shot,Age of Participants,0.8895301327885597,False
MedGemma-27b-text-it,few-shot,Application Form,0.6519467351188822,False
GPT-4o,few-shot,Application Form,0.7235317267402829,False
GPT-4o,few-shot,Clinical Trial Phase,0.7142734111806277,False
MedGemma-27b-text-it,few-shot,Clinical Trial Phase,0.6534604958283042,False
GPT-4o,few-shot,Condition,0.8804519652750367,False
MedGemma-27b-text-it,few-shot,Condition,0.8612324355579554,False
MedGemma-27b-text-it,few-shot,Outcomes,0.8711662732613927,False
GPT-4o,few-shot,Outcomes,0.8606566551120366,False
GPT-4o,few-shot,Regimen,0.7923978604757026,False
MedGemma-27b-text-it,few-shot,Regimen,0.6331658252933307,False
GPT-4o,few-shot,Study Control,0.711638363187861,False
MedGemma-27b-text-it,few-shot,Study Control,0.7033842861468912,False
GPT-4o,few-shot,Study Purpose,0.8256442695948566,False
MedGemma-27b-text-it,few-shot,Study Purpose,0.8032238805625952,False
GPT-4o,few-shot,Substance Naivety,0.8554007973868902,False
MedGemma-27b-text-it,few-shot,Substance Naivety,0.7392122569625562,False
GPT-4o,few-shot,Substances,0.9207121003595705,False
MedGemma-27b-text-it,few-shot,Substances,0.9190048268797169,False
GPT-4o,few-shot,Study Conclusion,0.7394585364510177,False
MedGemma-27b-text-it,few-shot,Study Conclusion,0.6152603117749832,False
GPT-4o,few-shot,Relevant,0.7909420345220363,False
MedGemma-27b-text-it,few-shot,Relevant,0.7239475488880553,False
GPT-4o,few-shot,Setting,0.8835863746258348,False
MedGemma-27b-text-it,few-shot,Setting,0.8683227251296558,False
GPT-4o,few-shot,Sex of Participants,0.8426189526847422,False
MedGemma-27b-text-it,few-shot,Sex of Participants,0.8425184442895318,False
Llama-3.1-8B-Instruct,ift,NER-dosage,0.2951275137278592,True
GPT-4o,zero-shot,NER-dosage,0.5321530330683408,True
BERT,zero-shot,NER-dosage,0.8552914698870422,True
MedGemma-27b-text-it,zero-shot,NER-dosage,0.39539225209516327,True
MedGemma-27b-text-it,few-shot,NER-dosage,0.39539225209516327,True
GPT-4o,few-shot,NER-dosage,0.5321530330683408,True
